EmpIoyee_ID,FirstName,LastName,HireDate,TerminationDate,ADEmail,EmployeeStatus,EmployeeType,EmployeeClassificationType,DepartmentType,DOB,State,JobFunctionDescription,GenderCode,Performance Score,Current Employee Rating
1080,Laila,Woodard,2019-08-27,2023-05-10,laila.woodard@bilearner.com,Terminated,Full-Time,Temporary,Sales,06-07-1988,IN,Technician,Male,Fully Meets,2
1081,Ivan,Huff,2021-02-25,2023-04-07,ivan.huff@bilearner.com,Terminated,Full-Time,Full-Time,Sales,24-03-1973,CA,Manager,Male,Fully Meets,4
1082,Aidan,Harding,2021-07-13,NA,aidan.harding@bilearner.com,Active,Full-Time,Part-Time,Sales,26-05-1942,OR,Laborer,Male,Fully Meets,5
1083,Cruz,Boyer,2021-04-14,NA,cruz.boyer@bilearner.com,Active,Part-Time,Full-Time,Sales,04-11-1977,KY,Project Controls,Female,Fully Meets,2
1084,Raven,Koch,2020-02-10,NA,raven.koch@bilearner.com,Active,Part-Time,Full-Time,Sales,17-10-1956,KY,Laborer,Female,Fully Meets,2
1085,Karli,Barker,2021-08-17,2021-12-31,karli.barker@bilearner.com,Terminated,Part-Time,Full-Time,Sales,18-02-1997,KY,Director,Female,Fully Meets,4
1086,Tyrone,Sosa,2023-04-17,2023-06-22,tyrone.sosa@bilearner.com,Terminated,Contract,Temporary,Sales,25-10-1996,TX,Coordinator,Female,Fully Meets,2
1087,Damaris,Cisneros,2022-09-02,2023-05-24,damaris.cisneros@bilearner.com,Terminated,Contract,Temporary,Sales,13-11-1959,TX,Laborer,Male,Fully Meets,5
1088,Alexus,Estes,2020-04-15,NA,alexus.estes@bilearner.com,Active,Full-Time,Part-Time,Sales,03-01-1958,TX,Manager,Male,Fully Meets,1
1089,Kinsley,Flowers,2022-03-09,2022-12-10,kinsley.flowers@bilearner.com,Terminated,Part-Time,Part-Time,Sales,29-04-1997,CO,Controller,Male,Fully Meets,4
1090,Deborah,Love,2022-04-07,2023-01-22,deborah.love@bilearner.com,Terminated,Contract,Part-Time,Sales,25-06-1988,CO,Coordinator,Male,Fully Meets,5
1091,Milagros,Francis,2020-02-19,NA,milagros.francis@bilearner.com,Active,Part-Time,Part-Time,Sales,04-01-1942,IN,Splicer,Male,Fully Meets,4
1092,Roberto,Michael,2021-04-10,2022-07-04,roberto.michael@bilearner.com,Terminated,Contract,Part-Time,Sales,24-05-1969,CA,Coordinator,Female,Fully Meets,2
1093,Elaine,Ewing,2021-12-19,2022-03-02,elaine.ewing@bilearner.com,Terminated,Part-Time,Temporary,Sales,28-03-1951,CA,Groundman,Male,Fully Meets,2
1094,Caiden,Munoz,2020-12-13,2023-01-13,caiden.munoz@bilearner.com,Terminated,Full-Time,Temporary,Sales,01-03-1963,ND,Manager,Female,Fully Meets,1
1095,Jocelyn,Bradford,2019-02-26,NA,jocelyn.bradford@bilearner.com,Active,Contract,Part-Time,Sales,16-04-1949,KY,Electrician,Female,Fully Meets,4
1096,Marques,Armstrong,2020-03-02,NA,marques.armstrong@bilearner.com,Active,Full-Time,Part-Time,Sales,12-10-1983,KY,Splicer,Female,Fully Meets,1
1097,Rohan,Chapman,2021-06-25,2022-08-25,rohan.chapman@bilearner.com,Terminated,Full-Time,Temporary,Sales,19-12-1978,KY,Laborer,Female,Fully Meets,2
1098,Emmanuel,Franklin,2021-07-26,2022-05-04,emmanuel.franklin@bilearner.com,Terminated,Contract,Full-Time,Sales,11-11-1999,TX,Laborer,Male,Fully Meets,2
1099,Clayton,Mccormick,2022-07-03,2023-01-10,clayton.mccormick@bilearner.com,Terminated,Contract,Temporary,Sales,29-01-1967,TX,Foreman,Male,Fully Meets,2
1100,Darius,Krause,2022-09-15,NA,darius.krause@bilearner.com,Active,Full-Time,Full-Time,Sales,30-05-1948,TX,Foreman,Male,Fully Meets,4
1101,Ahmed,Hawkins,2020-05-01,2021-02-25,ahmed.hawkins@bilearner.com,Terminated,Full-Time,Temporary,Sales,15-10-1974,CO,Lineman,Male,Fully Meets,1
1102,Kymani,Benjamin,2022-10-13,NA,kymani.benjamin@bilearner.com,Active,Full-Time,Part-Time,Sales,13-12-1991,CO,Accounting,Male,Fully Meets,2
1103,Callum,Mcdaniel,2020-01-03,2020-08-24,callum.mcdaniel@bilearner.com,Terminated,Part-Time,Full-Time,Sales,18-06-1994,IN,Top Hand,Male,Fully Meets,2
1104,Zariah,Black,2019-11-13,NA,zariah.black@bilearner.com,Active,Full-Time,Part-Time,Sales,16-06-1993,CA,Tower Hand,Female,Fully Meets,2
1105,Ronnie,Mayer,2023-06-17,NA,ronnie.mayer@bilearner.com,Active,Full-Time,Full-Time,Sales,18-05-1943,CA,Project Manager,Male,Fully Meets,1
1106,Marlon,Ford,2021-10-14,NA,marlon.ford@bilearner.com,Active,Part-Time,Full-Time,IT/IS,27-11-1966,OR,Technician,Female,Fully Meets,1
1107,Slade,Griffith,2021-06-01,2023-07-16,slade.griffith@bilearner.com,Terminated,Contract,Full-Time,Sales,12-11-1966,ND,Administrator,Male,Fully Meets,2
1108,Lee,Frye,2018-09-14,NA,lee.frye@bilearner.com,Active,Full-Time,Full-Time,Sales,16-08-1959,KY,Engineer,Female,Fully Meets,4
1109,Veronica,Rowe,2018-12-11,2022-06-02,veronica.rowe@bilearner.com,Terminated,Full-Time,Temporary,Sales,02-02-1994,KY,Engineer,Female,Fully Meets,4
1110,Aylin,Berg,2022-08-06,NA,aylin.berg@bilearner.com,Active,Contract,Temporary,Sales,02-01-1989,GA,Administrative,Female,Fully Meets,2
1111,Neveah,Rowe,2022-05-28,2023-02-24,neveah.rowe@bilearner.com,Terminated,Contract,Part-Time,Sales,11-07-1954,TX,Foreman,Male,Fully Meets,2
1112,Keith,Baxter,2019-06-16,2022-03-05,keith.baxter@bilearner.com,Terminated,Part-Time,Part-Time,Sales,29-08-1959,TX,Engineer,Male,Fully Meets,2
1113,Chaz,Bruce,2019-12-08,NA,chaz.bruce@bilearner.com,Active,Full-Time,Temporary,Sales,27-11-1983,CO,Foreman,Male,Fully Meets,5
1114,Maya,Mccann,2020-03-12,2022-10-09,maya.mccann@bilearner.com,Terminated,Full-Time,Part-Time,Sales,09-06-1983,CO,Supervisor,Male,Exceeds,4
1115,Aaron,Weber,2020-04-06,2023-07-24,aaron.weber@bilearner.com,Terminated,Full-Time,Full-Time,Sales,27-10-1991,IN,Technician,Male,Exceeds,2
1116,Ellie,Gill,2023-04-15,NA,ellie.gill@bilearner.com,Active,Contract,Temporary,Sales,01-03-1948,IN,Manager,Male,Needs Improvement,1
1117,Rayne,Kerr,2020-11-10,NA,rayne.kerr@bilearner.com,Active,Part-Time,Temporary,Sales,18-02-1981,CA,Laborer,Female,Fully Meets,2
1118,Samara,Mcbride,2023-06-29,2023-07-09,samara.mcbride@bilearner.com,Terminated,Contract,Temporary,Sales,16-09-2000,CA,Foreman,Male,Fully Meets,2
1119,Ryann,Rubio,2022-03-07,NA,ryann.rubio@bilearner.com,Active,Full-Time,Temporary,IT/IS,28-01-1943,OR,Locator,Female,Fully Meets,1
1120,Paris,Carr,2021-07-31,2023-01-27,paris.carr@bilearner.com,Terminated,Full-Time,Part-Time,Sales,14-07-1980,ND,Foreman,Male,Exceeds,1
1121,Adriel,Wiggins,2022-01-20,NA,adriel.wiggins@bilearner.com,Active,Contract,Full-Time,Sales,25-03-1947,KY,Supervisor,Female,Needs Improvement,2
1122,Sanaa,Glass,2021-07-11,2022-10-10,sanaa.glass@bilearner.com,Terminated,Part-Time,Full-Time,Sales,25-01-1964,KY,Technician,Female,Fully Meets,1
1123,Ryan,Lynch,2018-10-15,2020-10-18,ryan.lynch@bilearner.com,Terminated,Full-Time,Full-Time,Sales,17-03-1955,GA,Technician,Female,Fully Meets,2
1124,Charlie,Atkinson,2021-11-26,2022-10-14,charlie.atkinson@bilearner.com,Terminated,Part-Time,Temporary,Sales,26-03-1988,TX,Billing,Male,Fully Meets,1
1125,Emery,Roach,2018-08-11,NA,emery.roach@bilearner.com,Active,Part-Time,Part-Time,Sales,04-07-1954,TX,Engineer,Male,Needs Improvement,4
1126,Harper,Ramos,2020-02-16,2020-06-03,harper.ramos@bilearner.com,Terminated,Full-Time,Full-Time,Sales,11-08-1942,CO,Foreman,Male,Needs Improvement,1
1127,Khalil,Mendez,2020-01-20,NA,khalil.mendez@bilearner.com,Active,Contract,Temporary,Sales,07-05-1949,CO,Foreman,Male,Fully Meets,4
1128,Lizeth,Holland,2019-03-31,NA,lizeth.holland@bilearner.com,Active,Part-Time,Temporary,Sales,14-10-1958,IN,Cpo,Male,Fully Meets,1
1129,Matilda,Randall,2023-01-06,2023-05-07,matilda.randall@bilearner.com,Terminated,Full-Time,Temporary,Sales,11-01-1988,IN,Drafter,Female,Fully Meets,4
1130,Damien,Howe,2019-07-18,2020-01-15,damien.howe@bilearner.com,Terminated,Full-Time,Temporary,Sales,16-06-1961,CA,Vp,Male,Exceeds,2
1131,Nicholas,Obrien,2019-02-13,NA,nicholas.obrien@bilearner.com,Active,Part-Time,Temporary,Sales,06-06-1960,MA,Operator,Male,Fully Meets,2
1132,Mildred,Gentry,2018-12-30,NA,mildred.gentry@bilearner.com,Active,Part-Time,Part-Time,Production       ,04-06-1959,MA,Manager,Female,Fully Meets,1
1133,Wilson K,Adinolfi,2019-11-06,2020-09-06,wilson k.adinolfi@bilearner.com,Terminated,Part-Time,Full-Time,Production       ,18-11-1991,MA,Assistant,Male,Fully Meets,2
1134,Joanne,Handschiegl,2022-06-01,NA,joanne.handschiegl@bilearner.com,Active,Contract,Full-Time,Production       ,18-02-1954,MA,Technician,Female,Exceeds,4
1135,Dianna,Blount,2023-03-28,NA,dianna.blount@bilearner.com,Active,Part-Time,Temporary,Production       ,31-01-1959,MA,Technician,Female,Fully Meets,5
1136,Jean,Crimmings,2019-05-21,2023-01-05,jean.crimmings@bilearner.com,Terminated,Contract,Full-Time,Production       ,09-04-1954,MA,Manager,Female,Exceeds,2
1137,Nore,Sadki,2019-01-01,NA,nore.sadki@bilearner.com,Active,Contract,Full-Time,Production       ,15-10-1946,MA,Driver,Male,PIP,4
1138,Susan,Lundy,2019-01-26,2020-12-02,susan.lundy@bilearner.com,Terminated,Full-Time,Temporary,Production       ,07-11-1994,MA,Lineman,Female,Fully Meets,1
1139,Kramer,Keatts,2021-09-11,NA,kramer.keatts@bilearner.com,Active,Part-Time,Full-Time,Production       ,10-05-1968,MA,Lineman,Male,Fully Meets,4
1140,Maliki,Moumanil,2021-09-26,NA,maliki.moumanil@bilearner.com,Active,Part-Time,Part-Time,Production       ,05-10-1963,MA,Lineman,Male,Fully Meets,2
1141,Nader,Barton,2023-03-04,NA,nader.barton@bilearner.com,Active,Full-Time,Full-Time,Production       ,02-09-1966,MA,Technician,Male,Fully Meets,4
1142,Quinn,Rarrick,2023-07-11,2023-07-29,quinn.rarrick@bilearner.com,Terminated,Full-Time,Part-Time,Production       ,08-12-1974,MA,Foreman,Male,Fully Meets,2
1143,Beatrice,Chace,2019-02-09,2020-08-28,beatrice.chace@bilearner.com,Terminated,Part-Time,Temporary,Production       ,19-07-1995,MA,Supervisor,Female,Fully Meets,2
1144,Adrienne J,Homberger,2019-04-19,2021-10-26,adrienne j.homberger@bilearner.com,Terminated,Full-Time,Temporary,Production       ,23-11-1974,MA,Engineer,Female,Fully Meets,1
1145,Marilyn,Linares,2022-07-07,2023-07-17,marilyn.linares@bilearner.com,Terminated,Part-Time,Full-Time,Production       ,29-08-1947,MA,Engineer,Female,Fully Meets,4
1146,Timothy,Sullivan,2019-03-12,2020-05-19,timothy.sullivan@bilearner.com,Terminated,Contract,Part-Time,Production       ,07-06-1994,MA,Engineer,Male,Fully Meets,5
1147,Jennifer,Medeiros,2020-03-09,2021-10-17,jennifer.medeiros@bilearner.com,Terminated,Contract,Full-Time,Production       ,26-10-1983,MA,Driller,Female,Exceeds,4
1148,Anna,Von Massenbach,2021-05-18,2022-01-04,anna.von massenbach@bilearner.com,Terminated,Contract,Full-Time,Production       ,06-05-1951,MA,Laborer,Female,Fully Meets,1
1149,George,Johnson,2021-04-28,2022-01-18,george.johnson@bilearner.com,Terminated,Part-Time,Temporary,Production       ,05-03-1987,MA,Groundman,Male,Exceeds,5
1150,Angela,Erilus,2021-07-21,2023-04-26,angela.erilus@bilearner.com,Terminated,Full-Time,Full-Time,Production       ,26-04-1992,MA,Project Manager,Female,Exceeds,4
1151,Miguel,Estremera,2019-09-15,NA,miguel.estremera@bilearner.com,Active,Part-Time,Temporary,Production       ,30-05-1957,MA,Tower Hand,Male,Fully Meets,4
1152,Clinton,Owad,2019-05-04,NA,clinton.owad@bilearner.com,Active,Full-Time,Temporary,Production       ,30-05-1957,MA,Technician,Male,Exceeds,2
1153,Constance,Sloan,2021-05-20,NA,constance.sloan@bilearner.com,Active,Full-Time,Part-Time,Production       ,15-11-1946,MA,Laborer,Female,Needs Improvement,4
1154,Davion,Sanchez,2019-12-16,NA,davion.sanchez@bilearner.com,Active,Full-Time,Full-Time,Production       ,21-04-1942,MA,Foreman,Male,Fully Meets,4
1155,Ross,Strickland,2020-11-20,2023-05-01,ross.strickland@bilearner.com,Terminated,Full-Time,Part-Time,Production       ,08-03-1943,MA,Foreman,Male,Fully Meets,2
1156,Augustus,Drake,2020-08-19,2022-05-04,augustus.drake@bilearner.com,Terminated,Part-Time,Part-Time,Production       ,09-08-1968,MA,Laborer,Male,Fully Meets,4
1157,Gracelyn,Huynh,2021-04-28,2022-04-18,gracelyn.huynh@bilearner.com,Terminated,Full-Time,Temporary,Production       ,20-11-1958,MA,Construction Manager,Female,Needs Improvement,4
1158,Orlando,Armstrong,2020-08-14,NA,orlando.armstrong@bilearner.com,Active,Contract,Full-Time,Production       ,07-11-1987,MA,Lineman,Female,Fully Meets,4
1159,Edward,Everett,2021-12-22,NA,edward.everett@bilearner.com,Active,Full-Time,Full-Time,Production       ,16-07-1992,MA,Laborer,Female,Fully Meets,4
1160,Jaqueline,Terrell,2019-02-01,2019-02-10,jaqueline.terrell@bilearner.com,Terminated,Part-Time,Full-Time,Production       ,27-12-2000,MA,Manager,Female,Fully Meets,2
